cycle,x,y,species,biomass,seq_num,timestep,species,biomass
18,0,0,model7,0.25555764315,4,138,model7,0.25555764315
18,0,0,model13,0.0171578239,4,138,model13,0.0171578239
19,0,0,model8,0.0082616862384,4,139,model8,0.0082616862384
19,0,0,model5,0.3380935549,4,139,model5,0.3380935549
19,0,0,model7,0.25300206671,4,139,model7,0.25300206671
19,0,0,model13,0.016986245661,4,139,model13,0.016986245661
20,0,0,model8,0.008179069376,4,140,model8,0.008179069376
20,0,0,model5,0.33471261935,4,140,model5,0.33471261935
20,0,0,model7,0.25047204605,4,140,model7,0.25047204605
20,0,0,model13,0.016816383205,4,140,model13,0.016816383205
21,0,0,model8,0.0080972786822,4,141,model8,0.0080972786822
21,0,0,model5,0.33136549316,4,141,model5,0.33136549316
21,0,0,model7,0.24796732559,4,141,model7,0.24796732559
21,0,0,model13,0.016648219373,4,141,model13,0.016648219373
22,0,0,model8,0.0080163058954,4,142,model8,0.0080163058954
22,0,0,model5,0.32805183823,4,142,model5,0.32805183823
22,0,0,model7,0.24548765233,4,142,model7,0.24548765233
22,0,0,model13,0.016481737179,4,142,model13,0.016481737179
23,0,0,model8,0.0079361428364,4,143,model8,0.0079361428364
23,0,0,model5,0.32477131984,4,143,model5,0.32477131984
23,0,0,model7,0.24303277581,4,143,model7,0.24303277581
23,0,0,model13,0.016316919807,4,143,model13,0.016316919807
24,0,0,model8,0.0078567814081,4,144,model8,0.0078567814081
24,0,0,model5,0.32152360665,4,144,model5,0.32152360665
24,0,0,model7,0.24060244805,4,144,model7,0.24060244805
24,0,0,model13,0.016153750609,4,144,model13,0.016153750609
25,0,0,model8,0.007778213594,4,145,model8,0.007778213594
25,0,0,model5,0.31830837058,4,145,model5,0.31830837058
25,0,0,model7,0.23819642357,4,145,model7,0.23819642357
25,0,0,model13,0.015992213103,4,145,model13,0.015992213103
26,0,0,model8,0.0077004314581,4,146,model8,0.0077004314581
26,0,0,model5,0.31512528687,4,146,model5,0.31512528687
26,0,0,model7,0.23581445933,4,146,model7,0.23581445933
26,0,0,model13,0.015832290972,4,146,model13,0.015832290972
27,0,0,model8,0.0076234271435,4,147,model8,0.0076234271435
27,0,0,model5,0.31197403401,4,147,model5,0.31197403401
27,0,0,model7,0.23345631474,4,147,model7,0.23345631474
27,0,0,model13,0.015673968062,4,147,model13,0.015673968062
28,0,0,model8,0.007547192872,4,148,model8,0.007547192872
28,0,0,model5,0.30885429367,4,148,model5,0.30885429367
28,0,0,model7,0.23112175159,4,148,model7,0.23112175159
28,0,0,model13,0.015517228382,4,148,model13,0.015517228382
29,0,0,model8,0.0074717209433,4,149,model8,0.0074717209433
29,0,0,model5,0.30576575073,4,149,model5,0.30576575073
29,0,0,model7,0.22881053408,4,149,model7,0.22881053408
29,0,0,model13,0.015362056098,4,149,model13,0.015362056098
30,0,0,model8,0.0073970037339,4,150,model8,0.0073970037339
30,0,0,model5,0.30270809322,4,150,model5,0.30270809322
30,0,0,model7,0.22652242874,4,150,model7,0.22652242874
30,0,0,model13,0.015208435537,4,150,model13,0.015208435537
31,0,0,model8,0.0073230336965,4,151,model8,0.0073230336965
31,0,0,model5,0.29968101229,4,151,model5,0.29968101229
31,0,0,model7,0.22425720445,4,151,model7,0.22425720445
31,0,0,model13,0.015056351182,4,151,model13,0.015056351182
32,0,0,model8,0.0072498033596,4,152,model8,0.0072498033596
32,0,0,model5,0.29668420217,4,152,model5,0.29668420217
32,0,0,model7,0.2220146324,4,152,model7,0.2220146324
32,0,0,model13,0.01490578767,4,152,model13,0.01490578767
33,0,0,model8,0.007177305326,4,153,model8,0.007177305326
33,0,0,model5,0.29371736014,4,153,model5,0.29371736014
33,0,0,model7,0.21979448608,4,153,model7,0.21979448608
33,0,0,model13,0.014756729793,4,153,model13,0.014756729793
34,0,0,model8,0.0071055322727,4,154,model8,0.0071055322727
34,0,0,model5,0.29078018654,4,154,model5,0.29078018654
34,0,0,model7,0.21759654122,4,154,model7,0.21759654122
34,0,0,model13,0.014609162495,4,154,model13,0.014609162495
35,0,0,model8,0.00703447695,4,155,model8,0.00703447695
35,0,0,model5,0.28787238468,4,155,model5,0.28787238468
35,0,0,model7,0.21542057581,4,155,model7,0.21542057581
35,0,0,model13,0.01446307087,4,155,model13,0.01446307087
36,0,0,model8,0.0069641321805,4,156,model8,0.0069641321805
36,0,0,model5,0.28499366083,4,156,model5,0.28499366083
36,0,0,model7,0.21326637005,4,156,model7,0.21326637005
36,0,0,model13,0.014318440161,4,156,model13,0.014318440161
37,0,0,model8,0.0068944908587,4,157,model8,0.0068944908587
37,0,0,model5,0.28214372422,4,157,model5,0.28214372422
37,0,0,model7,0.21113370635,4,157,model7,0.21113370635
37,0,0,model13,0.01417525576,4,157,model13,0.01417525576
38,0,0,model8,0.0068255459501,4,158,model8,0.0068255459501
38,0,0,model5,0.27932228698,4,158,model5,0.27932228698
38,0,0,model7,0.20902236929,4,158,model7,0.20902236929
38,0,0,model13,0.014033503202,4,158,model13,0.014033503202
39,0,0,model8,0.0067572904906,4,159,model8,0.0067572904906
39,0,0,model5,0.27652906411,4,159,model5,0.27652906411
39,0,0,model7,0.20693214559,4,159,model7,0.20693214559
39,0,0,model13,0.01389316817,4,159,model13,0.01389316817
40,0,0,model8,0.0066897175857,4,160,model8,0.0066897175857
40,0,0,model5,0.27376377347,4,160,model5,0.27376377347
40,0,0,model7,0.20486282414,4,160,model7,0.20486282414
40,0,0,model13,0.013754236488,4,160,model13,0.013754236488
0,0,0,model20,0.01,5,160,model20,0.01
0,0,0,model5,0.27376377347,5,160,model5,0.27376377347
0,0,0,model7,0.20486282414,5,160,model7,0.20486282414
0,0,0,model13,0.013754236488,5,160,model13,0.013754236488
0,0,0,model8,0.0066897175857,5,160,model8,0.0066897175857
1,0,0,model20,0.0099,5,161,model20,0.0099
1,0,0,model5,0.32493237337,5,161,model5,0.32493237337
1,0,0,model7,0.24206887661,5,161,model7,0.24206887661
1,0,0,model13,0.026248879469,5,161,model13,0.026248879469
1,0,0,model8,0.021120205932,5,161,model8,0.021120205932
2,0,0,model20,0.0098029688762,5,162,model20,0.0098029688762
2,0,0,model5,0.50528491614,5,162,model5,0.50528491614
2,0,0,model7,0.30710260268,5,162,model7,0.30710260268
2,0,0,model13,0.051364284113,5,162,model13,0.051364284113
2,0,0,model8,0.078189251946,5,162,model8,0.078189251946
3,0,0,model20,0.0097059033924,5,163,model20,0.0097059033924
3,0,0,model5,0.69759220054,5,163,model5,0.69759220054
3,0,0,model7,0.38931770954,5,163,model7,0.38931770954
3,0,0,model13,0.090145614341,5,163,model13,0.090145614341
3,0,0,model8,0.18036619112,5,163,model8,0.18036619112
4,0,0,model20,0.0096099071648,5,164,model20,0.0096099071648
4,0,0,model5,0.75929560359,5,164,model5,0.75929560359
4,0,0,model7,0.45388028974,5,164,model7,0.45388028974
4,0,0,model13,0.14013135264,5,164,model13,0.14013135264
4,0,0,model8,0.27336848165,5,164,model8,0.27336848165
5,0,0,model20,0.0095150586577,5,165,model20,0.0095150586577
5,0,0,model5,0.82592144934,5,165,model5,0.82592144934
5,0,0,model7,0.52297534971,5,165,model7,0.52297534971
5,0,0,model13,0.20513534681,5,165,model13,0.20513534681
5,0,0,model8,0.4299089824,5,165,model8,0.4299089824
6,0,0,model20,0.0094213260765,5,166,model20,0.0094213260765
6,0,0,model5,0.90831166216,5,166,model5,0.90831166216
6,0,0,model7,0.59846951793,5,166,model7,0.59846951793
6,0,0,model13,0.28163962135,5,166,model13,0.28163962135
6,0,0,model8,0.61382055053,5,166,model8,0.61382055053
7,0,0,model20,0.0093287277134,5,167,model20,0.0093287277134
7,0,0,model5,0.99262358286,5,167,model5,0.99262358286
7,0,0,model7,0.67814904567,5,167,model7,0.67814904567
7,0,0,model13,0.37525644154,5,167,model13,0.37525644154
7,0,0,model8,0.79159059533,5,167,model8,0.79159059533
8,0,0,model20,0.0092372408977,5,168,model20,0.0092372408977
8,0,0,model5,1.0726689193,5,168,model5,1.0726689193
8,0,0,model7,0.74747019404,5,168,model7,0.74747019404
8,0,0,model13,0.47183642932,5,168,model13,0.47183642932
8,0,0,model8,0.95118500577,5,168,model8,0.95118500577
9,0,0,model20,0.0091467244938,5,169,model20,0.0091467244938
9,0,0,model5,1.1675819758,5,169,model5,1.1675819758
9,0,0,model7,0.82956853268,5,169,model7,0.82956853268
9,0,0,model13,0.58073015986,5,169,model13,0.58073015986
9,0,0,model8,1.1198575756,5,169,model8,1.1198575756
10,0,0,model20,0.0090571530916,5,170,model20,0.0090571530916
