,model1,model2,phylum1,phylum2,jaccard_distance
3966,56,63,Firmicutes,Firmicutes,0.36799410029498525
3789,52,68,Proteobacteria,Proteobacteria,0.3680485338725986
1761,20,72,Proteobacteria,Proteobacteria,0.36829836829836826
3795,52,74,Proteobacteria,Proteobacteria,0.3683683683683684
3772,51,99,Actinobacteria,Firmicutes,0.3683897801544861
214,3,21,Proteobacteria,Proteobacteria,0.36868686868686873
96,1,98,Firmicutes,Firmicutes,0.3691899070385126
1032,11,99,Firmicutes,Firmicutes,0.3692220969560316
1558,18,30,Firmicutes,Firmicutes,0.36936936936936937
4674,77,78,Bacteroidetes,Bacteroidetes,0.3696617697300991
4170,61,62,Firmicutes,Firmicutes,0.36970118137595553
3174,40,95,Firmicutes,Firmicutes,0.36973590292648106
530,6,52,Proteobacteria,Proteobacteria,0.37010676156583633
2130,25,56,Firmicutes,Firmicutes,0.3708812260536398
3173,40,94,Firmicutes,Firmicutes,0.3709139426284189
4092,59,63,Firmicutes,Firmicutes,0.370919881305638
1886,22,40,Firmicutes,Firmicutes,0.372
3970,56,67,Firmicutes,Firmicutes,0.3724590163934426
3202,41,64,Firmicutes,Firmicutes,0.37286821705426354
990,11,57,Firmicutes,Firmicutes,0.3739279588336192
4209,62,63,Firmicutes,Firmicutes,0.3739591218773657
4425,68,72,Proteobacteria,Proteobacteria,0.37403846153846154
2397,29,33,Firmicutes,Firmicutes,0.3741579914268218
4906,91,93,Firmicutes,Firmicutes,0.3745427944403804
3146,40,67,Firmicutes,Firmicutes,0.3754646840148699
2236,26,88,Firmicutes,Firmicutes,0.37606837606837606
1296,15,17,Actinobacteria,Actinobacteria,0.37615330021291693
546,6,68,Proteobacteria,Proteobacteria,0.3761976802824004
2350,28,57,Firmicutes,Firmicutes,0.3766323024054983
4040,57,94,Firmicutes,Firmicutes,0.3766937669376694
3145,40,66,Firmicutes,Firmicutes,0.3769278223318939
4914,92,93,Firmicutes,Firmicutes,0.3770491803278688
4453,68,100,Proteobacteria,Proteobacteria,0.37731481481481477
310,4,21,Proteobacteria,Proteobacteria,0.3779795686719637
4037,57,91,Firmicutes,Firmicutes,0.3780403057678944
435,5,51,Actinobacteria,Actinobacteria,0.37829552421827095
1820,21,52,Proteobacteria,Proteobacteria,0.37895310796074155
2903,36,70,Actinobacteria,Actinobacteria,0.3796169630642955
3144,40,65,Firmicutes,Firmicutes,0.3797780517879161
3171,40,92,Firmicutes,Firmicutes,0.3800277392510403
4760,81,82,Bacteroidetes,Bacteroidetes,0.38027048528241847
1879,22,33,Firmicutes,Firmicutes,0.38031018206338507
2254,27,33,Firmicutes,Firmicutes,0.3809808612440191
2466,30,32,Firmicutes,Firmicutes,0.3809859154929578
783,9,29,Firmicutes,Firmicutes,0.38110137672090116
434,5,50,Actinobacteria,Actinobacteria,0.3821538461538462
578,6,100,Proteobacteria,Proteobacteria,0.38225731537389684
395,5,11,Actinobacteria,Firmicutes,0.38238702201622243
3258,42,62,Firmicutes,Firmicutes,0.3825408090844571
309,4,20,Proteobacteria,Proteobacteria,0.38288288288288286
4013,57,67,Firmicutes,Firmicutes,0.38292529817953547
2547,31,44,Firmicutes,Firmicutes,0.38346525945470533
1852,21,84,Proteobacteria,Proteobacteria,0.38401253918495293
2177,26,29,Firmicutes,Firmicutes,0.38491295938104453
1465,17,19,Actinobacteria,Actinobacteria,0.38501971090670173
4012,57,66,Firmicutes,Firmicutes,0.3853841349156777
863,10,19,Firmicutes,Actinobacteria,0.3855421686746988
1559,18,31,Firmicutes,Firmicutes,0.3855633802816901
1741,20,52,Proteobacteria,Proteobacteria,0.3859141341051616
389,4,100,Proteobacteria,Proteobacteria,0.3862332695984704
4011,57,65,Firmicutes,Firmicutes,0.38625
2326,28,33,Firmicutes,Firmicutes,0.38692098092643057
780,9,26,Firmicutes,Firmicutes,0.38718861209964417
2614,32,43,Firmicutes,Firmicutes,0.3872126436781609
1481,17,35,Actinobacteria,Actinobacteria,0.38756983240223464
3196,41,58,Firmicutes,Firmicutes,0.3879821958456974
2392,28,99,Firmicutes,Firmicutes,0.3883689839572193
695,8,32,Firmicutes,Firmicutes,0.3885003885003885
357,4,68,Proteobacteria,Proteobacteria,0.3887163561076604
3775,52,54,Proteobacteria,Proteobacteria,0.3890090869753353
2431,29,67,Firmicutes,Firmicutes,0.3891164423639555
2180,26,32,Firmicutes,Firmicutes,0.38961988304093564
1380,16,17,Actinobacteria,Actinobacteria,0.3904473085670963
2100,25,26,Firmicutes,Firmicutes,0.3906976744186047
4047,58,59,Firmicutes,Firmicutes,0.3907435508345979
960,11,27,Firmicutes,Firmicutes,0.3910994764397906
3963,56,60,Firmicutes,Firmicutes,0.3915492957746479
3898,54,84,Proteobacteria,Proteobacteria,0.39205020920502087
3917,55,58,Firmicutes,Firmicutes,0.39213973799126634
2429,29,65,Firmicutes,Firmicutes,0.39219114219114215
593,7,22,Firmicutes,Firmicutes,0.39220014716703455
2430,29,66,Firmicutes,Firmicutes,0.39231664726426074
1515,17,69,Actinobacteria,Actinobacteria,0.392338177014531
3297,43,44,Firmicutes,Firmicutes,0.39242424242424245
2105,25,31,Firmicutes,Firmicutes,0.3926380368098159
1999,23,76,Proteobacteria,Proteobacteria,0.3932835820895523
2108,25,34,Firmicutes,Actinobacteria,0.3933823529411765
3200,41,62,Firmicutes,Firmicutes,0.39344262295081966
412,5,28,Actinobacteria,Firmicutes,0.39471855455177207
2792,34,88,Actinobacteria,Firmicutes,0.395264116575592
4132,60,63,Firmicutes,Firmicutes,0.3963768115942029
2075,24,76,Proteobacteria,Proteobacteria,0.39691856199559794
4250,63,67,Firmicutes,Firmicutes,0.39694148936170215
499,6,21,Proteobacteria,Proteobacteria,0.39729729729729735
1873,22,27,Firmicutes,Firmicutes,0.39743589743589747
1934,22,88,Firmicutes,Firmicutes,0.3979213066072754
4248,63,65,Firmicutes,Firmicutes,0.39933774834437086
4922,93,94,Firmicutes,Firmicutes,0.39943938332165385
4249,63,66,Firmicutes,Firmicutes,0.3994708994708994
1710,20,21,Proteobacteria,Proteobacteria,0.39948453608247425
454,5,70,Actinobacteria,Actinobacteria,0.4005505849965588
406,5,22,Actinobacteria,Firmicutes,0.40109140518417463
4096,59,67,Firmicutes,Firmicutes,0.40142671854734113
672,8,9,Firmicutes,Firmicutes,0.40164547494390423
3103,39,84,Proteobacteria,Proteobacteria,0.40223713646532433
3254,42,58,Firmicutes,Firmicutes,0.4026162790697675
2996,37,100,Bacteroidetes,Proteobacteria,0.4026814609338881
4093,59,64,Firmicutes,Firmicutes,0.40327613104524185
1840,21,72,Proteobacteria,Proteobacteria,0.4037774374680959
2465,30,31,Firmicutes,Firmicutes,0.40407204385277995
2378,28,85,Firmicutes,Firmicutes,0.4041297935103245
1550,18,22,Firmicutes,Firmicutes,0.40476190476190477
4569,72,98,Proteobacteria,Firmicutes,0.4049499736703528
1868,21,100,Proteobacteria,Proteobacteria,0.4052993130520117
4809,83,96,Actinobacteria,Firmicutes,0.4054266614235156
2535,31,32,Firmicutes,Firmicutes,0.40569105691056906
4094,59,65,Firmicutes,Firmicutes,0.4058064516129032
4095,59,66,Firmicutes,Firmicutes,0.4059278350515464
4041,57,95,Firmicutes,Firmicutes,0.405982905982906
